source,title,url,source_type,research_role
Oxford Academic,Dying — A Time of Novelty,https://academic.oup.com/book/39302/chapter-abstract/338895800,academic,Varanasi death liberation Sanskrit philosophy
Geographical Review,Hindu Varanasi,https://www.tandfonline.com/doi/abs/10.1111/j.1931-0846.2000.tb00332.x,academic,sacred geography pilgrimage cremation
Heidelberg University,Shiva's Places — Shiva's Orte,https://digi.ub.uni-heidelberg.de/diglit/gutschow2006a/0040,academic,Shiva sacred geography Kashi
Columbia University Press,Banaras,https://cup.columbia.edu/book/banaras/9780231114479,academic,Varanasi sacred geography death liberation Sanskrit sources
Aghor Peeth,Baba Kinaram Ji,https://www.aghorpeeth.org/baba-kinaram-ji.html,institutional,Aghor tradition Baba Kinaram Krim Kund
Aghor Peeth,About Abbots,https://www.aghorpeeth.org/about-abbots.html,institutional,Kashi Aghor lineage Krim Kund
PubMed,Medicine Versus Religion — Death and Dying in Contemporary Kashian Society,https://pubmed.ncbi.nlm.nih.gov/33386570/,scientific,contemporary Kashian death culture
Aζ South Asia,Death and cosmogony in Kashi,https://architexturez.net/doc/10-1177/006996678101500118,academic,Kashi death moksha sacred specialists
Aζ South Asia,Sacred Geometry of India's Holy City Varanasi-Kashi as Cosmogram,https://architexturez.net/doc/b1994a,academic,Kashi cosmogram sacred geography
